occupation_code,title_2020,title_2026,title_changed,pairs_2020,pairs_2026,persisted_pairs,added_pairs,removed_pairs,union_pairs,jaccard,categories_2020,categories_2026,persisted_categories,category_union,category_jaccard,hot_pairs_2020,hot_pairs_2026,in_demand_pairs_2026
53-4041.00,Subway and Streetcar Operators,Subway and Streetcar Operators,False,2,1,0,1,2,3,0.0,2,1,1,2,0.5,1,1,0
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,False,3,27,3,24,0,27,0.111111,3,21,3,21,0.142857,1,22,0
51-9123.00,"Painting, Coating, and Decorating Workers","Painting, Coating, and Decorating Workers",False,5,5,1,4,4,9,0.111111,3,3,2,4,0.5,3,3,0
47-5081.00,Helpers--Extraction Workers,Helpers--Extraction Workers,False,3,5,1,4,2,7,0.142857,3,4,2,5,0.4,3,5,0
47-5051.00,"Rock Splitters, Quarry","Rock Splitters, Quarry",False,3,12,2,10,1,13,0.153846,3,12,2,13,0.153846,1,8,0
25-2023.00,"Career/Technical Education Teachers, Middle School","Career/Technical Education Teachers, Middle School",False,19,93,15,78,4,97,0.154639,11,33,10,34,0.294118,7,68,0
25-2011.00,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education",False,6,20,4,16,2,22,0.181818,6,11,5,12,0.416667,4,3,0
47-2151.00,Pipelayers,Pipelayers,False,4,2,1,1,3,5,0.2,3,2,2,3,0.666667,2,2,0
19-2099.01,Remote Sensing Scientists and Technologists,Remote Sensing Scientists and Technologists,False,20,87,18,69,2,89,0.202247,12,35,12,35,0.342857,12,54,1
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical and Electronics Installers and Repairers, Transportation Equipment",False,5,18,4,14,1,19,0.210526,5,12,4,13,0.307692,3,14,4
